RSC,PI,KR,Mg,Na,SAR,SSP,EC,IWQI,USABLE
-2.83,56.7,0.6,39.1,39.8,2.2,46.2,1180,41.78194444,0
-2.69,48.7,0.4,30.9,29.2,1.3,32.2,1363,33.64920635,0
-2.6,53.3,0.5,49,39.9,1.7,41,1280,45.1671627,0
-3.11,45.9,0.3,46.9,28.8,1.2,31.6,1305,30.8047619,0
-2.71,64.9,1,26.3,50.8,3.1,55.9,543,40.45039683,0
-5.85,61.4,1.2,30.1,56.7,4.5,61.3,492,14.35803571,0
-3.81,45.4,0.4,44.5,30.9,1.4,34.4,1630,30.86061508,0
-3.77,70.6,1.5,23.1,61.3,5.5,66.1,1800,62.6828373,1
-3.67,55.8,0.7,49.2,42.4,2.5,49.7,465,26.55873016,0
-6.43,47.1,0.7,44.3,40.9,2.5,47.6,506,-4.130257937,0
-4.7,54.4,0.7,41,46.1,2.7,50.5,589,17.52053571,0
-5.25,39.7,0.4,35,28.7,1.3,32.2,414,-8.505853175,0
-4.7,62.5,1.3,28.1,57.5,4.2,62.4,424,25.57113095,0
-5.35,50.5,0.6,40.5,45.5,2.4,45.8,490,6.144940476,0
-1.59,72.4,1.3,25.4,60.5,3.7,61.6,442,58.45426587,1
-3.79,63.7,1.1,51.3,56.9,3.8,60.9,500,39.44513889,0
-5.76,39.9,0.4,38.3,36.6,1.6,36.1,469,-8.176388889,0
-3.46,56.8,0.7,56.6,46.8,2.4,51.4,509,33.15119048,0
-5.74,48.6,0.6,39.1,39.5,2.3,44,1560,16.99454365,0
-3.07,53.1,0.5,48.5,40.2,1.8,43.6,1355,42.36964286,0
-3.83,63,1.1,45.6,55.7,3.7,59.4,1263,49.39236111,0
-3.57,50.9,0.5,25.4,46.4,1.8,39.7,1565,35.66428571,0
-3.87,59.1,0.9,44.9,48.5,3.1,54.2,1310,43.27093254,0
-4.33,43.3,0.4,43.6,42.1,1.4,33.1,1340,23.40228175,0
-1.44,67,0.9,35.9,52.6,2.5,53.4,1260,66.56289683,1
-1.03,70.9,1,56.2,56.5,2.9,59.5,1207,79.40585317,1
-2.97,48.1,0.4,30.9,36.7,1.3,32.9,1323,32.59414683,0
-1.31,65.9,0.8,46.7,48.3,2.4,52.5,1245,67.64494048,1
-2.01,57.9,0.6,51.9,39.3,1.9,45.2,1020,50.11498016,1
